SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,267088214421,0,3144.5605633429473,1356589.7782487215,198024,3294.791580031655,1276783.7566456196,0.32947915800316546,22,5785.367419043931,834445.6474955634,21976
1,149143625745,0,378069.13491014356,2232514.798946567,13374063,398589.5589104179,2140072.9804839734,39.906762158698285,1488,778393.367973502,1559550.8739830977,1487710
2,220174088519,0,92812.08425358628,2180832.6888879347,5076481,102488.39067206004,2120039.521790022,10.282584243728353,566,1626913.9585138985,1695305.5831488557,564841
3,244715034164,0,4078.264524143834,1726798.0273941248,233928,4249.841059225752,1564413.5320609247,0.42498410592257524,26,6826.800408665203,848498.076311633,26072
4,252145466589,0,3302.3864039317855,1751493.2868676356,197900,3490.0488670470927,1593085.4731903311,0.34900488670470925,22,7106.096557205454,880215.1978792469,22100
5,236976821783,0,27174.835808774358,2191757.1301522236,1527375,28644.067166263892,2114131.075099487,2.88632144141836,171,55819.66474454312,1602924.194138473,169620
6,244601221057,0,3788.7098134340745,1660783.284605,206936,3761.224069219222,1509256.5633314953,0.3761224069219222,23,3531.365724027228,829895.1222917786,23064
7,243517854495,0,3792.4841257622143,1741248.6218239781,206996,3777.95706975108,1574832.317161369,0.37779570697510795,23,3652.0782932579436,846688.339898183,23004
8,261866749202,0,3398.5219630622796,1353619.0531056225,216222,3665.9866245923063,1278793.0529508786,0.3665986624592306,24,12892.53066311463,851015.4294773664,23778
9,253764289544,0,3655.4303566936865,1928146.6311198063,216093,3783.03819550444,1655921.852618184,0.378303819550444,24,5527.040787717395,727508.5879266607,23907
10,246295049764,0,4478.533218986941,1445679.7243576092,234162,4222.577761901948,1346820.940412386,0.4222577761901948,26,2781.7671629886036,831510.8700222325,25838
11,258563511953,0,3407.296115247382,1707808.0660699834,206941,3558.1199878165007,1318670.8165676822,0.3558119987816501,23,5903.165203639029,433076.7570940476,23059
