SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,231219087393,0,139313.0188967323,1287691.8389322143,7287957,128667.5954629716,1251193.0218949118,1286.692651589256,74377,27251.437862927214,525617.1265795596,149644
1,230539473469,0,132284.69136228765,1242270.5538940732,6999555,123920.81742062946,1206856.5656924292,1239.1942581346186,71422,30199.766346437613,503014.7636332241,142605
2,231782955077,0,130727.34581803458,1251679.7622532893,6923934,121930.24284555942,1225244.3824833906,1219.3129223478431,70654,28388.427542173402,602337.273854443,141404
3,230616442233,0,136194.64915665373,1214746.5525449782,7123750,126085.18160479708,1188483.555761981,1260.836621700775,72695,27218.873212377734,577506.1453573832,145579
4,231699033345,0,132217.53684758607,1222238.1613858114,6970725,122786.87394279512,1196868.8787373505,1227.8687394279514,71124,27228.84868610044,592139.471705702,141675
5,231066925646,0,131827.70023459385,1186877.984359775,6972800,123158.20587667318,1162527.133120435,1231.5910949000108,71145,29065.052062557003,578380.7237224051,141647
6,231123068500,0,131420.95423499038,1234305.606823975,6977396,123193.17229902561,1210023.3433517846,1231.949489440481,71183,30028.957445118882,612703.0813855146,140800
7,230970511832,0,134647.97049575267,1236736.1351691354,7053458,124621.89987671014,1205279.546785575,1246.2365918633852,71961,26601.884088369283,533627.6006010991,142538
8,230757546819,0,135293.62798709076,1232992.2540634386,7122680,125983.41593050041,1203184.4793853716,1259.8502736395635,72680,28795.825190757627,550484.6649584298,145226
9,230727298222,0,133473.62396751426,1187867.428402034,7035467,124478.86410200883,1164991.255812076,1244.7937582262443,71802,29107.375180728126,601643.8692892614,144701
