SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,235391195591,0,55013.004406309425,1075899.6365405035,2865027,49668.80758069874,1048818.6936016313,496.6880758069874,29229,8550.074852085918,466955.885671403,57873
1,234014232451,0,68566.98765552203,1059423.4308569718,3606274,62900.44774555378,1038516.0562371729,629.0044774555378,36799,12460.701602824738,528070.5472299416,73626
2,234595502390,0,44652.43441435532,1047571.965700064,2360637,41088.85252188402,1020506.5760549224,410.91982837777476,24100,8505.43739184461,455544.34042569745,49178
3,237162369005,0,48147.407438865506,1003387.5900253196,2578484,44371.28893656035,978866.5648995877,443.71288936560353,26308,9119.62538443427,444035.01131528156,52316
4,234526126969,0,66125.52288342353,1079757.6860959076,3467199,60351.4848555483,1061246.8830039746,603.5148485554829,35385,11503.992827336868,578762.9677994336,71301
5,233552868459,0,58528.41587626207,1041954.5393395661,3197275,55860.585597090554,1021997.8221502465,558.6058559709055,32616,17105.535591812168,523562.35292282945,64325
6,234876670172,0,45210.41627799421,1000502.5431507026,2402184,41744.46100934568,981273.8008524353,417.44461009345684,24512,8775.189451954777,505318.4350339819,49016
7,231034824302,0,74807.24658591885,1074501.3087601303,3965159,70053.50837864963,1054222.758653056,700.5350837864962,40462,17048.00478011783,548106.2392089535,81041
8,237526792633,0,38615.428591522825,1109563.4332688877,2112091,36294.01089636192,1083464.4301351707,362.9401089636192,21552,9199.183473014697,503366.83861676627,43109
9,235172836044,0,56532.42106870132,1103208.0875484522,3033215,52655.74123400522,1081042.3978523696,526.5574123400522,30958,12178.970279419666,547704.1173887842,62585
10,234594499296,0,46546.22013820165,1112991.3700595929,2485172,43233.75028159893,1087349.7033723968,432.3375028159893,25356,9592.295421904022,509207.94903820835,50428
11,234171100347,0,49646.73689673939,1100193.2483190573,2569130,44759.16961772212,1074813.1325799648,447.6042906212283,26204,7534.850979711769,498142.2330983341,51196
