SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,231912272736,0,367042.0367232347,372761.92140221404,8284628,143180.9347916648,144086.5112449469,1431.8504361767666,83016,472.39599660636395,472.6368224157827,16726
1,231915709444,0,365470.49383342406,371352.8179743191,8369776,144644.00053115014,145619.1192938246,1446.5067964156347,83867,471.1844988185045,471.52707100945474,16528
2,231905074329,0,347740.9423531423,353308.07205114205,8069949,139474.37801258685,140408.5012290936,1394.8102110330565,80866,467.50765160321845,467.7772260270895,16255
3,231920687421,0,352328.3372891826,357599.3922502065,8252716,142621.23990671197,143526.38356078515,1426.2786165707755,82696,477.12744677544583,477.4090929582401,16488
4,232239691791,0,356416.3590936957,361817.122109962,8224493,141939.63032669446,142833.5038185044,1419.4625257272578,82414,471.95318038081854,472.2083485131231,16511
5,232354989473,0,366339.33783685294,372018.9862857207,8339812,143859.25637238877,144773.78384474348,1438.6589134336957,83570,475.37781489596,475.63882203135955,16792
6,231781378947,0,348631.04048777896,353944.61308003083,8046485,139144.89656813492,140026.26317047837,1391.483075939327,80630,467.91759214282416,468.1624415071774,16314
7,232411247853,0,361257.6806963503,366806.00585179916,8298129,143103.29774157997,144012.34404160143,1431.0991685979864,83151,471.7826842983456,472.042190105132,16575
8,232213786114,0,357142.58095722133,362710.1090755339,8269766,142732.85214741065,143656.810857875,1427.372729382462,82864,469.0228862847047,469.26428988967905,16368
9,232405821917,0,347327.508609551,352478.54987765907,8114176,139938.04342653195,140808.6038289751,1399.4469846046945,81310,472.88819731563456,473.1308073016616,16428
