SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,READ_NULLS_PER_SEC,READ_NULL_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,242827432861,0,3514.8573743210354,9847.25053873413,212955,,,3515.253568935188,9823.353711852682,35.15253568935188,2134,3715.6858550932698,4545.064791060397,445
1,243245143668,0,3829.6921409200527,10161.461547078785,232433,,,3829.8811887957795,10139.443291942871,38.2988118879578,2329,3926.347934373154,4878.323296048223,467
2,243337106492,0,3605.058535472268,9848.487762448138,218934,,,3606.519419301356,9832.357638335754,36.06519419301356,2194,4454.6054270391005,5556.647243302885,466
3,242821841340,0,3456.815733426986,9267.341398761848,209487,,,3457.6790760119025,9250.690810059008,34.576790760119025,2099,3959.2427688409243,4839.892645204506,413
4,242698091276,0,3255.083306970866,8846.969529227492,197087,,,3255.072983254738,8822.909670453773,32.55072983254738,1975,3250.1538816046773,3839.726952088942,413
5,243289200611,0,3761.481240274575,9881.53524673472,228378,,,3761.778154153795,9862.975725205155,37.61778154153795,2288,3929.645727398865,4891.26779780731,422
6,241805399042,0,3529.765800177329,9283.789648403812,212993,,,3530.1114176186584,9265.717170784481,35.30111417618659,2134,3720.768679635205,4589.851853340452,407
7,243331542720,0,3441.524797461112,9274.963299726905,208992,,,3442.2171110131035,9257.305973716104,34.42217111013104,2094,3837.664216961594,4686.829970162842,408
8,242833390291,0,3453.404841144362,9465.654322554827,209286,,,3454.2201918559135,9447.737581706187,34.54220191855914,2097,3922.3706197879455,4828.009986820291,414
9,242327143521,0,3691.9689657090194,10113.326960839382,223274,,,3692.528979620712,10093.318138318891,36.925289796207124,2237,4011.4400809523677,4955.123678142245,426
10,242861792786,0,3421.706363661025,9177.532201058175,207375,,,3422.522705053157,9160.74187074102,34.22522705053157,2078,3873.4358746949147,4840.063958541174,425
11,242840642792,0,3514.524779465637,9548.356815987026,212609,827.9926229430738,95,3510.120835621841,9486.554339537137,35.10120835621841,2131,3919.0586524041696,4824.38223777831,396
