SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,240502385677,0,16818.299046018023,4838123.787878254,887494,15085.089446357859,4745885.529489573,15.085089446357857,907,2651.6946018849203,2541407.8905920386,19506
1,241831374233,0,13856.760765736713,4803456.899449526,737116,12471.500067208568,4697633.567868971,12.471500067208568,754,2324.838924278167,2394543.945674883,16884
2,240905600836,0,13347.048187795917,4946352.570242759,740832,12569.238695539318,4799657.790105896,12.569238695539317,757,3424.6301513128456,2034686.7656166505,16168
3,242001483406,0,13749.27915447345,4484439.798589471,772902,13057.771198445693,4366797.9253343055,13.057771198445693,790,3988.92369837935,1997749.639837217,17098
4,241792489091,0,9378.010602125274,5116740.0641254615,515103,8701.676416458691,4986290.414905837,8.70167641645869,526,1973.579024763874,2261214.9397684615,10897
5,241417114844,0,18619.017863408328,4945314.920976172,999899,16916.779088504216,4844737.88883175,16.916779088504217,1021,3172.5209362001706,2467102.7872877386,21101
6,242623280787,0,16014.253305506165,5031542.834028779,885858,14903.763514658354,4924528.931662629,14.903763514658355,904,3398.031671714284,2415728.547318176,18142
7,240078642506,0,21106.383687147012,4828930.671749581,1122602,19027.09858868782,4749850.120808612,19.027098588687817,1142,2839.3413870085915,2438651.3797746943,19398
8,240055420947,0,16296.949759106314,5093509.230535769,904278,15346.456186937608,4975164.502787921,15.346456186937608,921,3694.4132472276533,2204862.6173599507,16722
9,246022358142,0,8029.443875769884,4663873.673989752,456952,7609.06453436851,4479497.437142404,7.6090645343685095,468,2403.806281948603,1699932.6520164928,11048
