SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,46170758305,0,546463.9436584322,2650221.223756248,25017996,542941.0501426678,2643291.181057366,542.9410501426678,25068,128494.09654759741,1145133.2763239986,50004
1,45497866315,0,557027.2059964899,2599016.562252375,25137541,553611.7413861192,2592076.646749373,553.6303438327416,25189,136850.0871080872,1114288.6493721635,50612
2,45303356967,0,551426.8983693186,2514887.437702952,24784675,548193.3715881227,2507976.361050682,548.1933715881228,24835,140998.46311254945,1065681.5371716602,50325
3,45991008968,0,550723.3092401086,2455515.0731043946,25136986,547659.2613466057,2450278.9520432227,547.6722379637953,25188,145113.63078590052,1187615.3037574186,50416
4,47305767698,0,503750.2242157508,2508538.2376970225,23639658,500703.57490470255,2502545.9625467355,500.721173864976,23687,122900.59320722563,1130247.2327424232,46509
5,44948901807,0,554177.6114144329,2506776.06317991,24712649,550883.8037093893,2501349.4636337105,550.8627626191751,24762,137746.97134989005,1195455.0300028138,48973
6,46253989761,0,506322.56892002845,2348771.8888296867,23259870,503874.3278239556,2344356.6393116578,503.8916464969341,23307,147001.76061960164,1206071.3226344401,46328
7,45787579847,0,563992.3445916813,2557604.4369233563,25643849,561169.2971294596,2551431.438495793,561.1783665684563,25695,158971.47339865804,1149324.7006630427,50735
8,44891706808,0,566082.7471090844,2707032.581047061,25242574,563407.2927584198,2700507.895999894,563.4060169472232,25293,165781.96624831014,1214712.9798874536,49741
9,45772777732,0,535622.1365553113,2594275.789231326,24262175,531145.3926250001,2586643.206587329,531.1453926250001,24312,104764.00239490614,1063305.9838016403,49825
10,45718409502,0,514684.7213621827,2128869.355808199,23374725,512306.44843354373,2125542.468880555,512.3100206838654,23422,155589.21449924234,1197234.0642786433,47111
11,46631352668,0,540659.0386303192,2535780.146453282,24944833,536030.1936330696,2529986.5178230507,536.0341848320573,24996,103297.49179182082,1194548.6778117574,50980
12,45646602879,0,563019.7285595154,2582196.1409321832,25466525,559033.9344122302,2576507.802118619,559.0339344122301,25518,124163.80052312482,1232863.1424432471,51475
13,45509243055,0,562606.5292194805,2746880.4027548027,25403923,559344.9218488655,2739604.696083381,547.3044663748286,25456,144796.22939032942,1186974.2263848581,51441
14,45243656195,0,564747.005926688,2637957.9573532827,25392191,562332.9796854849,2632307.7789043835,562.3329796854849,25442,176883.42673706793,1258327.7466181794,49809
15,46124677671,0,526456.6752843704,2582137.4896239215,24079762,523103.9265380062,2574104.5759247765,523.1039265380062,24128,125172.07105261649,1008287.5096362442,48238
16,45489400675,0,547479.2418616462,2538184.603793905,24725258,544632.3678125707,2532614.880775946,544.6323678125707,24775,151930.4532256892,1211338.7462948381,49742
17,45044500640,0,538613.7209652067,2634076.358903566,24021529,534360.4581693505,2629058.9334730725,534.3604581693504,24070,108753.89983057493,1352397.7207197566,48471
