SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,234565850675,0,113546.70857169971,3023282.408252611,6609534,112932.38092318487,3023148.6996334675,112.95761462071505,6624,30085.397061312116,2956595.6347183697,12986
1,236036297778,0,114962.506325039,4301011.971497058,6735023,114355.29303796688,4298335.246876268,114.35529303796687,6748,30566.004948481215,3248939.2346090516,12977
2,235293019368,0,121403.49425182922,4119624.32320298,7077880,120564.56275752168,4110691.1816398725,120.56456275752168,7092,27008.869721902516,1969699.2735129711,14120
3,233217608471,0,141861.73889026482,4529783.170418811,8167057,140343.6396358981,4522824.484089195,140.38212877787223,8185,21250.603645488594,2506403.9263191177,15595
4,234783571094,0,115619.4371107551,3768580.5475705327,6725526,114812.1219657557,3761666.7779039554,114.8121219657557,6739,25597.34088576474,1963569.6907119066,13474
5,234041964443,0,117788.71099494818,4746411.394477366,6857832,117441.82743216628,4742068.541779434,117.45564238668807,6873,47564.13439611027,3255919.680367073,13747
6,235025561207,0,116178.87568593501,3804136.4932481684,6783053,115681.03426866845,3655364.2871029614,115.68103426866844,6797,37509.44725331404,182585.78487319843,13947
7,235491290134,0,112944.81988234558,5248190.751204916,6582515,112038.11395736501,5230191.016769095,112.03811395736501,6596,22778.03364473504,1955824.544481248,13485
8,235721142008,0,111847.91722214085,5049210.62543196,6535575,111131.31294396559,5032781.372860013,111.13131294396558,6549,26979.903432605184,1947647.0302136634,13425
9,235055256595,0,110473.38150720557,5144005.895921692,6462669,110203.94257607519,5126194.425939482,110.27193147480709,6480,50505.67223059681,1914117.9006196014,13335
