SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,241562672240,0,6009.6016512319475,2497439.159715618,362915,6010.862467018054,2488905.2463368,6.010862467018054,363,57664.004059545885,159653.04575750206,85
1,243697270339,0,6515.04643497948,3190546.254763787,396916,6516.281441277453,3178693.478633894,6.516281441277453,397,62486.71459918399,171321.84491191967,84
2,241140904690,0,6667.030793496556,1656547.3108269908,401914,6668.30043649033,1653311.1632257593,6.6683004364903296,402,60613.95238033986,163213.32883547765,86
3,242883684371,0,4841.031653785418,2405762.37493567,293948,4841.823785099057,2400313.681809418,4.8418237850990575,294,64529.59938597604,173899.8119708283,52
4,241821837389,0,4779.508324674615,1297019.967323484,288942,4780.37886272625,1294848.4829463325,4.78037886272625,289,51610.50353832269,138627.13721815968,58
5,237237823153,0,52112.91673126281,3882327.1343954424,3090400,52116.47888046157,3873334.624628663,52.116478880461564,3091,80435.46958880684,299554.3380335905,600
6,244521642572,0,3941.6234050173557,2110841.9119685404,240950,3942.391314977969,2105890.873420883,3.942391314977969,241,64461.46155405625,171167.51651338616,50
7,242724064149,0,4613.346325983434,1506514.38095634,279937,4614.293205442004,1503392.143291183,4.614293205442005,280,52439.59614019601,147261.46272707192,63
8,238033278975,0,33884.450657568064,3069543.060010197,2015606,33877.615914566886,3064154.474681693,33.87761591456689,2016,16673.00138452561,307007.80376435205,394
9,243846930412,0,3640.9821489044207,1299663.706350835,221958,3641.6287812179917,1297912.062020342,3.641628781217992,222,59267.80971223009,159790.9021908474,42
10,245500391190,0,4545.143116234654,2623986.417684323,278956,4545.817603754019,2618662.9702408593,4.545817603754019,279,76821.40942843126,188907.07596533126,44
11,243795327544,0,5003.361140303547,2594494.2247619433,304944,5004.197628766348,2587346.7094365256,5.004197628766348,305,55847.70331306527,161694.09210210983,56
