SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,214877231364,0,579274.2982932304,5422484.112140164,31057761,578265.0828626488,5407708.98631067,578.2650828626487,31064,59783.156506729305,371306.35651903175,6239
1,219129302556,0,573306.2972708375,5325243.952678829,31344709,572283.1156638768,5309748.9443355845,572.2831156638767,31351,57851.794315104366,342616.94454824267,6291
2,217428258903,0,568523.5197651322,5360086.9680330735,30843772,567543.5227352473,5348211.448505294,567.5435227352473,30850,59510.885166057386,446713.5807975706,6228
3,217271217801,0,576646.932320487,4953617.843655934,31219679,574875.9603971122,4940414.120125055,574.8759603971122,31226,35555.1753603636,348779.3543369114,6321
4,215361663362,0,571178.9473223194,5100470.365788603,30682876,569999.3122437035,5083193.892252726,569.9993122437035,30689,50231.16929153884,282856.40536389785,6124
5,215165102145,0,598249.9921385382,5626195.311429614,32109630,597048.4930842919,5609204.847218279,597.048493084292,32116,53673.85216023605,345766.73699292506,6370
6,216626889000,0,565792.2256842083,5287248.796469655,30579813,564768.3007625152,5275072.168857827,564.7683007625152,30586,56790.87566417535,425997.35071923974,6187
7,216203356102,0,589239.2746681856,5407384.490616793,31785745,588186.9842020626,5393363.950471335,588.1869842020626,31792,58380.55191027757,380458.21249692095,6255
8,216321736627,0,569886.2683799214,5145470.848942499,30759557,568888.1289456143,5134298.49583985,568.8933588911127,30766,58372.30251113168,433558.16186260525,6160
9,216446738288,0,578897.2532648582,5636832.450171005,31227660,577211.6918378462,5621412.07697755,577.2135138412983,31234,37052.29732753518,382488.6843647969,6237
