SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,TRANSACTION_ERRORS,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,225590313824,0,382554.04527356854,3481824.5396026005,21394335,380112.73864754604,3481839.181779943,38.01581250387023,2144,2,91208.14493833983,3489122.113587345,43103
1,231981952759,0,222383.02497508327,3163840.7676045597,12833097,221741.43888442774,3161607.9945547734,22.225847686365313,1289,,93323.37945229288,2365413.2208145903,26906
2,231395247603,0,206986.79569788312,3321462.3578616185,11903917,206241.4353551368,3319123.9302824168,20.622401541022715,1195,,79530.48306570807,2530793.634966999,26905
3,239205723859,0,214318.50856387164,3171278.030664642,12783251,214208.9209796813,3097144.69506872,21.42089209796813,1281,3,172143.43542047532,254457.94584568616,26749
4,231953765456,0,222408.6455196213,3365654.9364140113,12823884,221595.88527891441,3362537.5137458094,22.159588527891444,1285,,79299.46634026457,2311309.1660099844,26116
5,230734344060,0,257205.83066316324,3355680.8397017387,14550370,252758.22824552943,3349972.413105441,25.293148718424543,1459,1,26630.58899957167,1825259.4227185107,29631
6,231159339809,0,231956.55106957455,3345291.977540373,13012675,225633.1759862956,3344975.9985690587,22.599112483944538,1306,,15754.826125667052,3197394.4399209027,26629
7,231913629850,0,228801.58249037276,3380058.8903229665,13015310,224953.16050955252,3377536.792951974,22.50837555835155,1305,,24792.797130673156,2486863.5121792895,27116
8,232836741094,0,229193.49569065493,3411444.0078939367,13274312,228486.31083752494,3405702.2316606827,22.882973546624118,1332,1,88071.36885487274,1821549.7740514278,25690
9,228286951088,0,277136.88665846403,3190827.1195862684,15728765,276142.511429396,3164361.1540516135,27.649395804262436,1578,2,98247.58885710382,610206.7315133355,31168
