SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,215726548258,0,702006.1074750636,3011977.524454031,37852393,701872.5011949707,3011557.2655377113,70.21757041258887,3787,65380.10546561999,370098.26108831895,740
1,212650674475,0,786176.9539002682,2934954.6571035553,41787988,786054.8968992401,2934749.508713652,78.60776199692698,4179,85133.70962144886,623520.8195025919,788
2,212605006619,0,782281.6472474709,2985684.1630172343,41568477,782094.4136935495,2985448.41091197,78.22955076396234,4158,59551.51788195004,596757.6048842426,820
3,212158669000,0,775772.8533931664,2665814.173254865,41137409,775611.5400591998,2665532.852808565,77.6028897711164,4117,63975.224533591805,401119.43096331647,769
4,214210029549,0,720832.0146683477,2975245.23148966,38593462,720679.439356908,2974689.4342575567,72.07876467638336,3860,59044.8212356279,273167.2989515378,729
5,217904247088,0,624857.7656963967,2966623.5049417713,34033464,624754.5599467899,2966121.5706896516,62.48192833798958,3405,69535.72311349164,323130.399180791,704
6,214697109137,0,685894.538688295,2801910.0676822537,36806788,685756.8627347065,2801584.5458066184,68.63411152645523,3684,60587.373857838626,401816.987234033,716
7,215746482364,0,683712.5291519646,3098923.537530042,36869181,683578.088430557,3098207.404111995,68.35856395395253,3689,61052.828987161905,238629.92190995227,711
8,188822660943,0,1515993.0131007852,2418112.3273055786,71549829,1515734.767059537,2417971.77458952,151.58116010240428,7157,160056.1831683405,621573.0333195974,1439
9,180744217484,0,1575694.9250256398,2534868.7055451106,71173426,1575150.3642167829,2534571.2346195206,157.560741545281,7120,85052.99993789132,364741.9729812967,1404
10,215794350121,0,685765.1179698457,2913899.559566558,36990964,685683.8277602368,2913710.786508465,68.57421191512638,3701,95553.7237353431,665956.7817497827,710
11,213314295343,0,777662.6906654442,2984449.797319541,41461317,777484.4519131867,2984248.0685184104,77.72889787428606,4147,61759.79799424512,675522.0467329447,820
