SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,239850850925,0,182755.39001845388,3681848.3071580427,10957150,183113.79688927406,3680330.631599209,18.311379688927406,1098,3072927.8052594876,,22850
1,237426589745,0,218566.81370816065,3642546.361922478,12952237,218678.11880616623,3640961.5580343907,21.867811880616625,1298,286820.9337409886,3026623.725086675,27763
2,245744809904,0,140206.3792880498,3489376.736598932,8612910,140470.92190262413,3487893.048996746,14.047092190262415,863,2861025.4382242626,2872371.733643574,17090
3,243269419676,0,97844.72905097774,3416241.360375859,5768325,95038.66137713703,3415138.620954478,9.503866137713702,578,6265.128266540497,2945395.1490414096,11675
4,241353187936,0,110959.47877822445,3469186.54788519,6688090,111040.58839739294,3463230.9090343034,11.104058839739293,670,188359.52972619404,1763327.9313217083,11910
5,244668465366,0,72608.39637381872,3693167.651777694,4441030,72751.50875439934,3691485.0961902165,7.275150875439934,445,3012080.811408231,,8970
6,247178763226,0,79875.63614284662,3617364.958769945,4930925,79942.14285283512,3615665.9125458,7.994214285283512,494,145989.24295757845,2880530.8175533675,9075
7,243022444694,0,65153.91879810004,3583280.3005437846,3958290,65279.27089193534,3581575.5211495925,6.534375753631444,397,2881972.0204234617,2884452.4514653026,7792
8,248876108810,0,25344.06912336723,3701188.796507238,1576857,25394.161095731735,3699545.968186862,2.5394161095731733,158,3025745.551935026,,3143
9,253315055088,0,7093.2261699624,3512426.677532076,449203,7105.775846503445,3509974.1267522206,0.7105775846503445,45,2518736.4602113906,,797
