SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,READ_ERRORS,READ_NULLS_PER_SEC,READ_NULLS_PER_SEC_NET,READ_NULL_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,TRANSACTION_ERRORS,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,207604211013,3569,1003906.9959196176,1096970.9424555614,48901843,3569,943.1557140942006,943.3230671391609,2980,942290.0000219659,1024171.4024088861,94.25482564040989,4892,2,34090.94099419612,75017.22638220526,1020
1,204647840861,7341,967927.939717864,1041262.4021661386,48559627,7341,730.4837145178209,730.4934525875725,706,949169.0075143988,1019866.9059411582,94.97192496142918,4859,2,37781.208018357196,74745.76764069223,1014
2,210617818628,7260,899972.5205304694,967683.9981563664,44286039,7260,885.9052396583407,,3034,841142.6590306923,900176.9747208174,84.15040867650033,4431,3,38843.214643975654,71931.25801029397,835
3,205046682162,477,1033369.8925414591,1121918.2349764341,48823283,477,958.9805669227643,958.9832498856582,3825,952526.7999493435,1027519.9445094157,95.29403491134794,4885,1,38153.7791668734,71549.2772110845,1007
4,201010448528,0,1062229.2397350846,1151260.6692329638,53352561,,,,,1061708.093100803,1150867.785437742,106.22022387177093,5338,,40721.48326988674,62411.65634527922,1044
5,198049032545,0,1024162.0786745957,1120459.2933551597,50683449,,,,,1023676.0129284377,1120037.2892029232,102.39668926761972,5070,,43284.42061342277,59027.84966740558,1062
6,205455895714,1326,1058781.600559254,1145436.212061339,50019972,1326,866.9780438947835,866.980897266379,3550,973922.3656961482,1047039.9175809202,97.44005341753673,5005,1,38009.151282231694,74176.611362297,1001
7,208497199843,13018,818620.2482962485,869800.1818319666,37875526,13018,770.9546576439111,,4498,726738.9687444149,766981.0354219758,72.70878785232188,3790,3,32771.82711106838,73442.62347428812,736
8,203651699586,8519,1047113.5585889993,1126726.7436294297,49663094,8519,1002.1545232826542,,3468,975538.7281514126,1044508.582189193,97.61714885409661,4970,1,40646.27749171654,73139.62138383412,968
9,205945444199,6258,939738.3170739264,1007500.9108073405,45479715,6258,923.9899170367574,924.0748636726742,2830,883407.0435867569,943300.0894076581,88.39019884768499,4551,1,31705.2403572356,63456.19573717123,869
