SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,105080581142,0,8066793.593986177,9208121.623949913,211722370,8060243.051524863,9206977.012198962,8060.327903828644,211746,891697.4899795568,4127539.7428413043,21386
1,92523111532,0,6793238.958046249,7388952.342611171,157012478,6788711.161997197,7388054.664243852,6788.789198767462,157030,885205.5842301855,3334548.655760073,15692
2,90470932795,0,7403969.238773602,8361457.232611773,167300968,7397626.655585761,8360652.014974193,7397.734087107455,167320,766986.2701106762,4240011.8315205285,16578
3,94562105170,0,7766622.061665409,8894063.517135112,183429868,7759911.3374307295,8893288.744116064,7759.978022041772,183450,811886.0823874992,4774185.781562182,18520
4,95348737597,0,7612410.193630547,8763538.815397542,181151672,7600309.749909064,8762340.950746914,7600.3936062292005,181172,454456.3113482596,3725315.5001797513,18313
5,96020624844,0,8249265.555939496,9463212.62662737,197404597,8224228.464280249,9462708.614293516,8224.272788790211,197425,256556.3968313729,6124799.780050731,19292
6,94104913782,0,8216456.935197317,9492127.900880828,193093773,8208453.107873227,9491315.650833553,8208.539614973619,193116,794963.4943954531,5217309.543143328,20170
7,92930593941,0,7290648.757201717,8323542.703391211,169202970,7283738.920572708,8322565.772676105,7283.843531757508,169223,719446.311237157,3907474.707210348,17576
8,92825885964,0,7464927.769819048,8387058.9749137135,172862132,7449613.616057336,8385992.046816915,7449.688301980446,172881,342964.47993494215,3670157.8093871567,17114
9,96795931434,0,7488150.306866631,8698834.827530233,180899206,7476193.320102806,8698567.60336357,7476.262800831925,180918,417106.81184018584,6562043.56830919,17068
10,97642454829,0,7940570.345018279,9097883.480111947,193542608,7929418.298177063,9097348.22682968,7929.5004958501195,193564,527188.5893612232,5728147.770175195,19359
11,97177693360,0,8408414.918445032,9663669.220317801,203917741,8394452.469436552,9662759.571797943,8394.394505508555,203940,482305.90591479634,5006761.772339333,20641
