SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,98177865618,0,7152414.994405858,8155037.662628342,175330354,7144091.466899912,8154359.848713901,7144.175607246156,175350,566085.7249124006,4456103.045384416,17559
1,85975129153,0,7556740.40054476,8594861.431439767,162085192,7541806.17566859,8594161.867206996,7541.900669667727,162104,374725.888840165,4807344.547791572,16748
2,96385701955,0,7118249.513698388,8238618.969562112,171132098,7102672.970308607,8237276.399784308,7102.712040151007,171150,307252.37270210014,3111875.3367890124,16932
3,100855839469,0,7882400.827262773,9009126.362874573,198470239,7872231.9716949975,9003946.895950641,7872.265301258802,198491,567774.3144172225,1337235.9228656357,19902
4,89867659936,0,7513652.189007002,8526753.770581698,168687559,7509024.586604097,8525848.694708439,7509.084114602224,168706,1059011.5532088738,4159603.381890692,17058
5,92350662192,0,7894050.6868718695,8934426.495536024,182134279,7889595.534087213,8933183.211455476,7889.6660860980555,182154,1179246.6302214786,3717393.895738358,18064
6,91352795838,0,7734703.478102926,8466648.717025366,176509569,7729479.908334451,8466195.039112901,7729.592728537872,176530,1005757.9232167761,5531903.573128525,17831
7,88131122308,0,7913016.78111031,8974685.505209837,174118771,7903516.553048274,8974306.294066506,7903.584933347509,174138,616157.9106575039,6336694.858834213,17675
8,91439863436,0,7678118.677256846,8763162.217580091,175224655,7665914.817235248,8761765.58689717,7666.021299947356,175245,462845.4087476683,3421914.603860945,17896
9,93687489827,0,7843760.040321981,8833701.542972544,183460312,7833644.1861685105,8832898.416246973,7833.702196980775,183480,562478.5071624353,4621409.526118047,18303
