SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,188462316078,0,1030247.2187403715,1048119.8862170834,48456202,1028555.3315590831,1046368.5340693636,1028.617950291173,48464,58260.036276627296,58306.68959343138,4778
1,205013156711,0,1113865.4197119141,1135008.9618355017,56974000,1111733.0792642292,1132794.5704029123,1111.7711068721012,56982,57758.11560229341,57803.77329289516,5977
2,192432217042,0,1038845.6093384525,1057552.9462425155,49877698,1036898.8886951827,1055535.653311111,1036.9558725261297,49886,57525.651961318246,57584.84850122569,5490
3,191444092294,0,1043847.460529955,1062487.567223322,49865962,1041996.6769914894,1060570.0941941303,1042.0364321261209,49873,56458.59536872371,56510.5223289893,5065
4,191861988626,0,1028973.1670705609,1047220.6296721053,49257003,1027033.9081291953,1045211.9071070304,1027.0701056790863,49264,54368.50634122343,54414.99122206965,5189
5,190667175436,0,1024445.2074549753,1042601.3655587137,48738917,1022598.4391605271,1040688.1627458949,1022.6601720589896,48747,55809.89323777591,55850.28485462172,5072
6,192454984735,0,1045741.7459775982,1064841.009933348,50224179,1043966.7659252952,1063000.2042611015,1043.9833365359395,50230,57543.95259285494,57587.322053199015,4973
7,200583021072,0,1077446.895630618,1097272.362920318,53918364,1075342.2839442396,1095088.3496012103,1075.3836917852746,53926,53249.1432062922,53266.1163548123,5487
8,196515281579,0,1067300.5242046735,1086903.4999630281,52332941,1065321.67024293,1084851.6564446946,1065.381384273743,52341,52762.49393563303,52816.91042029485,5056
9,192467124999,0,990618.4980841152,1008747.6694801863,47588356,989110.3636581526,1007184.2427256317,989.1545570546876,47595,57249.828715162264,57322.14776596234,4451
