SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,191472593144,0,897744.2276502956,1053174.5827195714,42905449,896416.8771188885,1051346.8738143975,8964.19455034106,429100,57734.48041358909,58244.90295163115,4367
1,193089291332,0,887711.371713367,1044113.6838665504,42781531,886345.6218591287,1042226.1202384575,8863.472874660663,427861,55905.4801719137,56475.326503716824,4431
2,203320711114,0,940447.7578358722,1114618.0184737046,47721953,938945.6438255333,1112508.4787511765,9389.486918833536,477270,55854.26562015631,56373.70972932469,4821
3,206959043033,0,918810.7101439374,1092161.8221440238,47457732,917331.3966750806,1090072.415916557,9173.342367540286,474627,53955.08285680096,54465.970625401314,4775
4,203433676412,0,938853.3614477174,1111174.306532559,47670150,937405.7401085788,1109150.7678486495,9374.069121865024,476751,57733.07214623414,58389.59676524539,4824
5,199977314300,0,919606.1660963303,1085373.4035637465,45901696,918230.0934621562,1083457.929707276,9182.31226360767,459064,57647.01444423879,58230.01092246171,4601
6,204507045194,0,940418.9889976035,1114295.9281100607,48000053,938941.0903563026,1112218.7662075607,9389.433733826489,480052,57973.15017461638,58460.336741608844,4964
7,192866731709,0,899556.1076233299,1055997.062303298,43304597,898212.7008891294,1054145.4787495765,8982.151445023113,433090,55265.36387869112,55751.092358173446,4240
8,200151941123,0,903032.5849851812,1065220.732905422,45112782,901659.304363658,1063310.9291617346,9016.617769375258,451174,54725.73444515747,55250.42116294285,4433
9,205938551852,0,953570.0405844756,1134478.6968897453,49009367,952018.1541380299,1132280.2238697822,9520.209107317558,490145,55556.62221098177,56015.207125832414,4943
10,200674540449,0,861198.6378104374,1018736.6519371005,43132707,859842.9856320114,1016836.3009960793,8598.44860739959,431373,52798.81800538945,53200.17177834844,4442
11,195809418516,0,895333.6250473167,1054203.9664301218,43757962,893977.3649636591,1052324.6729740263,8939.782925484566,437624,54876.70094591166,55401.76914079604,4335
