SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,192779926298,0,900883.2338913392,1057416.544271809,43351270,899586.3590689586,1055629.8321176313,8995.885381083579,433557,57710.82583021493,58249.38122542176,4278
1,190812462499,0,891096.8966486877,1046321.1159119571,42441022,889782.0078229418,1044505.1849478502,8897.854644288012,424456,57815.563159155296,58270.5300001278,4352
2,201090278234,0,912350.8785279826,1079397.3120465598,45793282,910990.7729444193,1077489.700207053,9109.932093971216,457980,57099.32156812549,57532.37916628159,4565
3,198086461380,0,872328.0907580127,1031316.2842323704,43125645,870929.9504777695,1029359.5737365255,8709.339841603296,431301,50034.852932968286,50406.11228370096,4213
4,201585743729,0,894958.170625054,1058785.3098683304,45035194,893704.2306036971,1057033.015007313,8937.071502619401,450397,57190.90143930303,57833.69652443413,4314
5,200803767958,0,908556.6053194125,1075769.0961905906,45538445,907214.2911088351,1073886.542424982,9072.171245799027,455432,57668.34512340257,58207.75796044222,4567
6,199982600777,0,940049.9852046844,1113881.0160433056,46919870,938572.1321291425,1111808.6273318224,9385.743326005917,469247,55703.84613333769,56274.22905810081,4654
7,192155733618,0,890645.119504243,1044579.588607855,42720150,889370.058245253,1042829.0736347376,8893.714533248503,427245,57647.78455460343,58295.7347160383,4239
8,199197332941,0,865648.1972441634,1019250.711568317,43039727,864347.7172005938,1017451.385064121,8643.51738810883,430442,52873.08324641058,53452.67570433249,4213
9,200201529916,0,837209.9732375005,998271.3508082301,41826730,835777.2693855301,996233.0092561627,8357.787184041052,418311,46760.683290098765,47140.78563680938,4242
