SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,158944824489,0,1385565.3895143908,3608365.916047576,54467792,1371424.6607324146,3605808.638131074,13714.268136391227,544953,64470.22689903249,1497587.740108096,27421
1,222451934996,0,267862.22528953117,4551819.250966108,14872671,267565.21583446895,4550184.950140778,2675.6521583446897,148801,83099.47832509954,2647309.6034639166,7429
2,220503675453,0,342478.8852801796,6529698.089504021,18411085,334146.7023106601,6525239.073445549,3341.4770562997246,184202,6623.954619047802,2732674.5784719754,9059
3,207598439314,0,729210.2430037773,7142880.832597284,36670500,706914.7556452906,7135683.389159714,7069.147556452906,366886,11230.770168846395,2346129.395257928,18100
4,212235057643,0,715570.5082605965,8328405.431215604,37227378,701976.3919050809,8325478.119682811,7019.763919050809,372460,18009.449401526508,4889698.528764495,18622
5,214909159516,0,392820.98356164794,2616118.294512212,20859715,388446.91491050593,2615455.268588784,3884.4691491050594,208702,16777.45285359633,1738754.571641394,10485
6,219162628666,0,83596.51845692698,2367713.1142635173,4363884,79686.9434643232,2367333.371597207,796.8694346432319,43661,855.9574177832561,1799107.6312486972,2216
7,202999533601,0,600599.7298635378,3743902.1945651304,30169032,594759.2975130128,3744254.296093781,5947.658543687812,301843,28807.480882816835,4622546.4680763995,14933
8,201137300024,0,788314.3166285584,8538491.341676049,39490544,785737.9013297996,8534483.947164193,7857.379013297996,395103,104306.5448552844,4403404.056900111,19756
9,205115552379,0,581167.10632342,5021575.18070448,29653032,578559.5027954094,5019324.763229133,5785.63615303041,296681,58112.40402897686,2649390.462747182,14856
10,208219920979,0,589227.4388434982,4481328.693375503,30597540,588089.743883583,4480359.149874723,5880.89743883583,306130,121975.47206199053,3137086.8394742925,15460
11,206786254331,0,794658.6123953816,6047244.160222031,39771205,769701.0641008514,6045563.2951423805,7697.0106410085145,397909,11947.956590198797,3872156.5110129872,19695
