SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,105909968665,0,5608318.74186325,8254400.128168931,148020887,5591005.940838176,8251970.764800408,55910.12426796887,1480360,176888.94928292927,2106118.744735453,14929
1,113844513685,0,6278651.142179155,9673271.858275754,178002037,6254839.385324043,9670111.065060675,62548.423884529904,1780199,160248.09872458334,2261064.767244878,17750
2,115812989054,0,6277279.256925461,9486270.334933285,181090762,6255220.609686691,9483857.898658186,62552.2819180062,1811092,173804.90783268944,2684982.6764953146,18187
3,111984930009,0,5888266.3098849375,8988363.793633327,164188531,5865239.509880596,8985875.484154545,58652.48647128192,1642049,143280.7303770432,2347985.877035813,16078
4,104312927352,0,5555467.868880954,8006042.069902942,144431645,5538942.858446414,8004061.512871399,55389.48016094109,1444460,177109.8929725391,2275312.1258936566,14191
5,108701074157,0,5850088.532613478,8738983.554463826,158430648,5830550.736643168,8737041.81283322,58305.54624240902,1584469,172526.00427311967,2745887.933257257,16134
6,112635246340,0,6078075.707695825,9224934.2866355,170599313,6059072.041622882,9224142.825397035,60590.76302520817,1706164,186666.03604262983,4950517.453895295,16955
7,116154657468,0,5712067.07081624,8521295.90568458,165331998,5694064.2624012735,8518524.131152924,56940.69753041903,1653482,169867.0449801426,1955433.5543574495,16023
8,111613725895,0,5675432.22829105,8719282.923372583,157453679,5643361.216993624,8716721.750486461,56433.65958259102,1574693,96407.2898274948,2184197.6043459657,15464
9,114190237201,0,5789618.216158279,8956732.507960035,164648128,5768078.4990455555,8953760.982422955,57680.8576329366,1646648,150714.6255247071,2070874.041779742,16435
10,109568282917,0,5827276.216047746,8985475.564568967,158990009,5804806.638083385,8982675.743016511,58048.138774897285,1590059,144630.9263197204,2158007.0291930204,15665
11,102302126706,0,5865877.265141936,8615817.982554555,149576505,5849000.282463395,8613491.154545095,58490.03565369051,1495914,194296.3879448059,2308124.651062384,14787
