SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,195213786473,0,906852.4414202969,1066188.5489834,43566034,893583.8966687261,1047898.1622800217,8935.876015424046,436102,57624.91872078327,58187.71555145279,43940
1,195505677822,0,916121.6066000672,1078988.5073161223,44068736,902544.8977530616,1060210.6847961477,9025.485038215615,441134,57485.98804030784,58052.92117465854,44427
2,193947448902,0,903456.278541747,1061274.5526204773,43124551,890302.9401910292,1043180.4281815221,8903.06232276784,431682,57619.103688960364,58201.266566866776,43445
3,201584194979,0,940148.6164979088,1112947.1724134611,46624708,926082.8609080575,1093281.3962548687,9260.872412538483,466712,57535.68676994886,58063.81195970978,46209
4,192533594290,0,890504.1406585376,1043627.8970673046,42203742,877680.908742983,1026070.1449294565,8776.828034477854,422459,56764.09167317867,57334.763013617114,42023
5,198507138084,0,917576.968946163,1081623.9803433192,44815894,903963.2616337811,1062763.7550573782,9039.662536600808,448610,57176.27467705986,57740.57379345389,44896
6,193410072608,0,888598.528732147,1041356.5737162227,42310398,875916.9246751664,1023982.0857009959,8759.186160267223,423529,57458.535911856714,58006.939291014045,42391
7,201643008447,0,930563.9935791156,1099341.0054359094,46156833,916532.9828362298,1079803.5911449487,9165.353793552233,462033,57152.79904643264,57672.254270322635,46284
8,200378491573,0,930683.7036826421,1098763.0246795134,45860061,916399.4326861316,1078919.1280151557,9164.025152807828,459069,56929.86074663371,57497.34384790383,46623
9,196332088853,0,917978.1203167707,1082104.7770082012,44353504,904538.8201058015,1063486.473246547,9045.39642618751,443976,57396.7511352118,57968.79838551435,43995
10,193047361067,0,897696.3400586917,1053814.4314705017,42652137,884650.0416067768,1035890.6977642548,8846.542310120452,426951,57014.91493291277,57586.03826380924,42702
11,193543484941,0,904829.3801332283,1062422.1158270878,43098813,891631.9970812052,1044274.3109630018,8916.333230693464,431425,57803.930011179815,58359.857200749524,43578
