SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,190396937794,0,1015746.9326677521,1017644.1792801919,48258726,1013963.9336472763,1015854.315887119,101.45104210377464,4829,58440.44597504922,,5181
1,193093136768,0,1047609.8425555582,1049558.9260612782,50498592,1046182.5178318707,1048126.5032341735,104.67472234251998,5053,58484.746355574134,58499.084298713315,4074
2,191143717802,0,1018109.2488097744,1019943.9665632889,48573963,1016583.7425077375,1018413.1634555985,101.70342636261279,4860,58400.54846224731,58413.8587722698,4436
3,196019482620,0,1058360.2674732746,1060344.0548662804,51763132,1056400.1150917842,1058376.3392956872,105.68322211563861,5179,58488.97998370277,,5619
4,189250667045,0,1007147.9733408996,1008940.4621304354,47558604,1005299.81199359,1007085.5414288159,100.56488654705923,4758,52523.15058028092,,4811
5,192827167670,0,990034.3231768544,991862.876196334,47644264,988430.7813211371,990253.2258904682,98.88633987363903,4767,58029.08009253088,,4813
6,196563382024,0,1046759.4603119892,1048696.194325132,51340575,1044875.0824552001,1046805.3889858944,104.51575760597756,5136,58384.611526312954,58406.568131440574,5470
7,197717463415,0,1038515.0642694818,1040495.1019466246,51234036,1036622.7871829488,1038595.394029399,103.70338616552677,5126,58378.12552460149,,5571
8,193528719224,0,1042883.4272169794,1044815.9745733244,50373363,1041252.0726019973,1043178.8217436143,104.1497693104684,5039,58399.13235004595,58413.571366515695,4682
9,194733983676,0,1056045.9052319983,1058025.9978532672,51324568,1054349.262127812,1056323.173979315,105.47707493309787,5135,58455.49901069654,58467.48407128746,4840
