SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,242033385413,0,97305.78514423563,4295981.124821715,5887715,97356.55252597382,4295164.444723478,9.75072066267301,590,3174092.037150599,,3169
1,250543824265,0,102126.33597586377,4096386.772881413,6396672,102177.73307763875,4095726.466416453,10.217773307763874,640,3126928.344905458,,3328
2,250974976153,0,128586.42779535985,4553142.559614782,7865339,125430.83172088473,4551858.256022301,12.543083172088473,787,2957.4478748170272,3083942.656266438,4661
3,243049976250,0,138009.30416575633,4708810.58912301,8385604,138078.5981459235,4707826.902970011,13.80785981459235,839,3270120.4276151108,3366354.2616907773,4396
4,242348276179,0,155098.3330853951,4543046.446214987,9075591,149860.27783079838,4542285.432373017,14.986695341980223,908,1932.440434759672,3292256.865103804,4004
5,245098068809,0,189885.95708037453,4769221.666472456,11634886,189964.77706351606,4768391.03144772,18.996477706351605,1164,3415152.753625511,,5114
6,238769898019,0,189289.0328601804,4870582.57678472,10798919,181004.7763917079,4869572.819061372,18.109484641438772,1081,2158.4950863425065,3497006.178922997,5704
7,245802267338,0,210113.08396259628,4981014.612271218,12484769,203252.8037314666,4980253.561286391,20.32528037314666,1249,2575.2198620541412,3649438.3433461497,5231
8,248161354228,0,142864.42001406776,4623564.961193508,8524751,137491.1903835438,4622653.721060945,13.74911903835438,853,2214.6547106035055,3501793.343156901,5249
9,244715310732,0,116226.54308533728,4452293.133542852,7106163,116216.67608344322,4451457.527606151,11.621667608344321,711,100426.98349770301,3303284.9477130543,3837
