SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,136888435861,0,4036666.4234263655,4361244.818949176,138091235,4035186.409470636,4361022.012744957,403.5694158823543,13811,105102.11788529881,702221.9698233852,1354
1,139175915207,0,3966617.703341565,4305489.6272467645,137950455,3964818.2171411095,4305371.599704939,396.5340257954613,13797,83478.64442155122,1130148.1934106734,1346
2,143374051550,0,3959892.249426614,4341976.780953439,141882106,3958416.72788384,4341866.024563253,395.8411419571528,14190,106023.89323124338,1245014.5936246696,1455
3,139121737758,0,4074106.2180707073,4436272.150019989,141641076,4072476.7037164196,4435873.304395512,407.2690793662887,14165,100471.06063610801,448680.83763358276,1433
4,140451142569,0,4086522.166136994,4425214.519901395,143436802,4085071.8727199393,4425100.682797565,408.5279457577876,14345,113213.58597362475,1248977.566391744,1451
5,140913865475,0,3796761.028323479,4118253.395110436,133706852,3795458.808806054,4118164.4609521474,379.6076751004672,13373,107832.83955850534,1306035.1533824338,1341
6,133587532564,0,4160087.3989107306,4533977.382361559,138886125,4158697.0680354727,4533843.80123312,415.9069902851113,13890,121338.0481500688,1152693.9366233174,1395
7,135032744372,0,3976895.290217064,4313448.871715742,134209152,3975642.341394329,4313345.230816276,397.5069052051903,13423,120530.5459231409,1254151.055000026,1322
8,140033882168,0,4104012.0450250283,4441933.506280027,143626946,4102674.6606278517,4441819.675053443,410.34935667007767,14366,120724.29728983523,1235954.248788706,1419
9,140174281613,0,4049166.8987053917,4400126.034498701,141845776,4047738.5827913485,4400023.594134697,404.7776510827257,14187,112928.41184079563,1333468.5992984897,1436
