SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,191185872529,0,1027817.2256016197,1029679.851697872,49116262,1027624.0048552693,1029489.878203832,102.81079365426004,4914,56380.601034037056,57492.82325185683,536
1,189767576141,0,1008305.6754484621,1010116.0306297288,47826782,1008123.5788028118,1009937.2890440765,100.8600783168302,4785,56206.72701946637,57401.84074196944,510
2,197272054814,0,1076110.8341150363,1078164.6658982818,53062159,1075928.4491669268,1077985.6905921015,107.62786490652763,5308,56130.93066869033,57356.20069050493,495
3,194463339911,0,1052236.8224279534,1054192.6723721034,51145036,1052035.597525123,1053995.2331122942,105.2536195235042,5117,56298.65653385868,57526.9816367737,553
4,191879177197,0,1029202.8045293678,1031061.628898918,49361680,1029026.1344892147,1030888.2858155628,102.93962817285268,4938,56471.24288040527,57696.781425506284,492
5,193899913817,0,1040228.4877071904,1042142.2671827713,50415949,1040050.7356095541,1041967.6504472876,104.03290155292311,5043,55755.93160849465,56905.79851429222,488
6,195699839251,0,1061872.0955360944,1063930.147076724,51941978,1061677.1112086559,1063738.2568665133,106.20330954617181,5196,56089.98900710018,57161.09220664379,532
7,190737614357,0,997723.9036762975,999550.0143052822,47566831,997544.9710924687,999375.4590581896,99.78090674195366,4758,55856.59426559204,57380.77025802721,506
8,198168606344,0,1056317.700677534,1058321.5415944895,52322464,1056130.6347216826,1058138.4819575055,105.66744697124922,5235,56120.23393179897,57493.68391802429,520
9,198018074015,0,1056210.9990933952,1058256.6929327517,52277092,1056017.2400432485,1058067.2863058213,105.64677396886829,5230,55601.31623858869,57024.847346864146,533
