SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,220948896925,0,373094.92821213964,6287120.684791218,20566181,372511.477293948,6265214.044025549,3725.11477293948,205765,90486.93526474199,788624.3365924176,10319
1,219782852163,0,407533.40311165847,6770006.2882132055,22373014,407387.56058000296,6762934.761820176,4073.87560580003,223842,237437.80789332764,2189240.098243764,11186
2,219575755935,0,399473.05246499495,6269345.146830847,21907303,399284.518578424,6248785.685626727,3992.84518578424,219183,205796.37841603017,829535.475974361,10997
3,220132338665,0,404122.8475666937,6721190.594191829,22218983,403942.46724158386,6699283.360660423,4039.4246724158384,222302,214390.39373545037,898463.780723895,11217
4,219387322653,0,407335.1447230872,6527620.439438258,22318750,407130.17926416,6507335.9476191765,4071.3017926416,223298,201916.0573004514,894296.0301956424,11050
5,221281578120,0,383122.6967509071,6717931.57758173,21174920,382963.646228356,6695514.846997141,3829.63646228356,211857,210946.3206042704,886294.645448433,10780
6,220694465862,0,406059.6090657523,6862478.657631098,22386859,405953.08835710236,6856234.7527411785,4059.530883571024,223979,264999.939216344,2410055.131566396,11041
7,219919154845,0,403622.436556427,6926607.167888761,22168931,403420.97559682897,6899761.554420783,4034.2097559682898,221800,201744.86617730279,787439.328969942,11069
8,220036910439,0,409760.018782707,6859921.251671631,22518521,409565.83066086774,6839672.391459288,4095.658306608678,225299,211351.70489934157,999746.9442713562,11379
9,220967292654,0,396022.403940552,6968500.673584354,21843925,395622.3518422943,6947453.353521014,3956.223518422943,218549,131410.35501983156,990864.0081356481,10975
