SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,221262253872,0,350002.0051336092,2498888.3752159993,19262842,348933.65971343446,2445103.9559356417,3489.3608190794553,193016,138330.0545268904,208353.06733918132,38620
1,217801532372,0,384430.07199008705,2385812.8116645,20822460,383169.59064117563,2341118.9889793973,3831.7249337845155,208639,144359.74629265163,223999.56592790858,41271
2,217673134713,0,382613.02103447175,2407254.20265338,20713310,381395.7294705227,2362907.4031529482,3813.975188973178,207550,147571.9189769917,232234.2945803524,41591
3,219367680029,0,390196.3640381283,2649942.699583316,21294465,389067.34113574546,2601182.8734167833,3890.673411357455,213372,159336.81864742932,255802.39985000467,42735
4,218328631689,0,381532.63424205896,2520975.657770438,20722480,380421.01650832006,2476238.5154159795,3804.2101650832005,207642,155453.09880615168,252304.4396384541,41720
5,220168080361,0,396276.1178304081,2733860.629214231,21708306,395181.88039492076,2683446.592733688,3951.834348347744,217517,165745.2602254363,261940.42573536767,43303
6,219586932730,0,388381.3197807128,2678215.012344866,21214841,387231.67605129106,2627384.1586526977,3872.3248166049534,212578,157195.53955669265,253051.3852760383,42913
7,218533170211,0,381225.64859636896,2410006.345504644,20725295,380110.71692135633,2369722.563526997,3801.1071692135633,207667,154271.4120294677,252991.38057816456,41405
8,218849185656,0,390789.70247616566,2732500.9346994176,21278173,389693.0196215324,2681435.1199691277,3896.930196215324,213210,162758.99306950608,260710.62815803627,42827
9,219807240805,0,395709.0434222325,2711209.7184386677,21640316,394593.00650129915,2660731.61934846,3945.9300650129917,216836,163727.1962884765,258112.39393098772,43284
