SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,177576023819,0,1998259.246956119,3905920.031125304,88684493,1997687.820522333,3905814.586841533,199.7478674132547,8870,66405.79798769871,1042785.2890739541,872
1,179520490655,0,1967269.1145687876,3856553.9951523575,88266526,1966737.5167691829,3856460.1692469614,196.59302867042302,8829,71130.5073540401,1134464.8193903489,895
2,186572216345,0,1838271.3647924797,3938450.222884909,85719956,1837803.906268432,3938375.8246683115,183.8001032853875,8573,67489.47243414426,1335685.9193228025,831
3,200781446616,0,1680794.025232222,3876630.537911994,84348717,1680425.0875096205,3876544.9524471834,168.06332432500864,8436,71933.64121597826,1193142.0271310122,828
4,199240477943,0,1437659.2728661927,4040344.7320756163,71591871,1437311.3282830347,4040201.727808691,143.71386173334116,7160,61764.25832964557,949077.6532774133,778
5,180836957922,0,1925017.1793588125,3562856.5411607414,87003825,1924488.6443517266,3562718.9665956106,192.46147195010866,8703,65599.94387819747,714658.5756803722,843
6,175605346755,0,2172463.0521534,3709574.8997316835,95352152,2171985.2558483677,3709498.1929526413,217.23707491809236,9537,89758.49602888158,1166112.6878929704,904
7,174295143337,0,2182367.5368388114,3888396.086496399,95068414,2181801.6309538404,3888333.036048504,218.22744741197795,9509,80384.33600822938,1475807.4392119532,943
8,179619993349,0,1954655.966719591,3780296.0847820123,87752859,1954209.180477927,3780125.7559749614,195.45705685303452,8777,84008.3213925279,701540.0595141115,901
9,177908619991,0,1982904.6192411922,3791793.868699685,88172681,1982445.2801547335,3791734.517580267,198.30401520401452,8820,78756.60929309815,1439926.5211460453,845
