SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,234245025993,0,425394.25581906206,430172.05946141115,6191460,105937.00290883257,106248.0948235084,1059.437261887471,62042,280.5032701081057,280.5658241391891,12344
1,234198209142,0,459492.7060728063,465536.1801592168,6328453,108304.91015676684,108659.60602773311,1083.1163537085836,63416,284.7676419870979,284.84607060198056,12751
2,233820412846,0,433882.9859159925,439433.7758655591,6296348,107928.84886667719,108293.00495166762,1079.3407817009968,63093,287.7332667953977,287.82011827480886,12644
3,233831651528,0,451962.51972641493,457714.497141756,6467285,110853.41026595839,111217.84807545187,1108.5751438816928,64805,293.8713285089845,293.9494473942703,12974
4,233986403044,0,449160.27751207614,455202.4547625855,6314260,108158.48985567348,108523.84223213581,1081.652195182904,63273,284.5269089801874,284.5930847038041,12644
5,234136924985,0,474649.2993490701,480644.86638485716,6517737,111570.68028322983,111918.72248480286,1115.7741920840929,65311,289.42554633088105,289.49493837483544,12967
6,234371196091,0,503372.29424099677,510738.0696580093,6675506,114159.14773764058,114561.24511679834,1141.6586415713423,66893,295.5578251664171,295.6517310766329,13398
7,234055806717,0,412989.7982744737,418261.83803068055,6193584,106061.95312221214,106426.71185199548,1060.686920061939,62065,287.70359122866563,287.77974151741313,12520
8,234304188216,0,519223.1340282971,526048.9044132719,6832402,116875.33291020358,117239.60293805107,1168.8050493674975,68464,301.4940165325352,301.5687512476338,13693
9,233992662428,0,451986.5213856571,457638.6535210218,6384517,109355.60001961004,109703.74979740688,1093.60627599808,63974,283.6202908136965,283.691820276041,12585
