SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,223435021702,0,658667.5984896437,659885.6352288749,27262418,488106.7756041209,488799.7445577809,488.14185741127164,27267,181.01388612107974,181.04881459774828,2619
1,222736435891,0,635296.6670240352,636466.5067380165,26514842,476212.3968433577,476899.0110992612,476.25785289997185,26520,187.91290447510667,187.9595181914469,2621
2,225196228089,0,595128.1340215569,596230.243314497,25034558,444716.2940953889,445358.1571302462,444.76760747842104,25040,179.15822749622987,179.20081696232901,2550
3,223370999798,0,639548.0225208917,640841.404079395,26509293,474760.46620152844,475502.9900227937,474.7974445234187,26514,183.21779214265607,183.2629272998013,2637
4,223667164826,0,623321.1707750785,624403.9217609784,26322337,470786.97528945265,471427.154493104,470.8244821006735,26327,187.0303360877666,187.06730560264612,2560
5,225022762183,0,629927.7245342358,631022.4924617455,26796424,476378.9181150601,477027.5389620952,476.4316801571277,26802,189.6214306334476,189.6586306756384,2601
6,223701092868,0,632624.955200555,633859.6720394392,26501196,473914.6091814434,474630.0788037048,473.9537841233931,26506,185.828775092365,185.8645667708913,2608
7,223799496359,0,613850.9569745252,615066.412626807,25777215,460764.50428907824,461472.6599407329,460.8052565702162,25782,179.19007932325692,179.22699786130235,2501
8,223963828576,0,636756.1525118443,637784.4027029545,26431905,472124.64920029946,472713.0099617384,472.183363909931,26438,193.77502349703823,193.81203370634339,2806
9,223545717452,0,617507.1866605551,618618.917229029,25768432,461132.01887723187,461773.1289880841,461.16733986868763,25773,182.95274859909958,182.98632393648762,2590
10,223205258479,0,677493.5670848957,678629.3648577954,27365317,490455.7748593525,491073.4506160437,490.508061161344,27371,179.11238963151456,179.14243779278917,2760
11,223877801621,0,658264.2279284309,659442.2411229364,26846537,479712.8756061808,480363.3574859114,479.74380436096783,26851,179.7094949042801,179.744240125917,2729
