SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,236390833754,0,319612.88335938536,4689641.474372957,18874298,319437.0898432615,4685054.478337683,319.43708984326156,18878,83969.01577341063,782562.3049440467,3702
1,225944521614,0,323212.8704875947,4716491.458768672,18241699,323005.4682391464,4709295.378976745,323.0173445093584,18246,76457.21246660546,543348.1426886108,3630
2,229201302377,0,233982.2184446251,4654326.94837963,13397357,233855.96610544692,4650112.403772915,233.8730156347123,13401,63007.846775315535,837792.683392457,2666
3,244426362182,0,258630.6156026237,4484936.5356495045,15790789,258466.39223374406,4471578.313592386,258.46639223374405,15794,62694.75663161183,285774.20077951567,3211
4,229296817443,0,243347.97407912687,4427719.335280154,13938178,243195.69988738355,4417636.248310926,243.19569988738354,13941,59451.83689401188,360692.0788849681,2822
5,226046909103,0,327893.6882710082,4915338.508368155,18510121,327609.2395771545,4909357.150673469,327.6134103868567,18514,60580.97512679111,683472.7224638751,3643
6,240434566099,0,266697.7633293352,4853379.797378389,16018589,266547.48125363886,4841152.465999637,266.55068304679327,16022,70052.71325173549,357523.0805424063,3218
7,228289223322,0,248021.77090757436,4599014.378872102,14145000,247893.59382145805,4594688.534777712,247.89605794327315,14148,69694.22287425093,812692.384633178,2859
8,228788091715,0,286458.34084885026,4561085.658566773,16372084,286297.24348413514,4558391.902522658,286.30860352348697,16376,74964.04061503979,1150938.4809109753,3266
9,236539878865,0,246579.2975456036,4909323.090569038,14572184,246470.0678792241,4904064.389273247,246.4700678792241,14575,74862.03410288655,749507.2708326956,2816
