SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,195010689861,0,1278108.4096852965,7394361.281226082,62308164,1278058.8806575178,7392783.050305022,1278.083357988685,62310,261794.2629597104,330317.7236966589,622
1,240995189493,0,46739.082844614415,8076383.84021846,2815967,46739.522160989756,8075213.947843322,46.73952216098976,2816,236138.49164749534,604401.1392045715,33
2,247553372317,0,20876.06908430522,7216647.791598762,1291984,20876.306194618148,7215549.82821288,20.87630619461815,1292,251967.51193892938,543118.5186442405,16
3,213962610300,0,644057.1735074867,6639344.670429839,34450163,644047.7418310876,6638222.321075029,644.0564329659823,34451,272922.2506301672,397566.698913148,371
4,242119354676,0,70477.27535504331,8589300.858555736,4265970,70477.63704324569,8588429.503091406,70.47763704324569,4266,260799.26280741714,556764.4561571189,30
5,241519150883,0,160947.9119102013,8822153.153686475,9717905,160947.89940210953,8820746.959605023,160.94789940210956,9718,159678.4915593109,509723.64929939824,95
6,239121730513,0,71778.87387873183,9024944.897344548,4290960,71779.34001722554,9023825.889714614,71.77934001722554,4291,236619.88494358095,630994.4472488642,40
7,241182527397,0,83587.54930316538,8955054.987671958,5039947,83588.14470343247,8953745.93978267,83.58814470343246,5040,259073.05615775104,600893.4037776921,53
8,244366570771,0,52445.431810000744,8131711.277018534,3203969,52445.79878321445,8130159.818997268,52.44579878321445,3204,189465.99620151237,392401.33796198136,31
9,241124952758,0,73455.15926875857,8744637.99002696,4427956,73455.69090800933,8743501.868730262,73.45569090800933,4428,270414.3639193489,621218.8596398343,44
10,243713501887,0,23929.478098305724,7495031.839074992,1457982,23929.736985618714,7493270.645939948,23.929736985618714,1458,193463.6167485752,374041.51860856556,18
11,245155292886,0,39794.79956003132,7727818.936466186,2438969,39795.18404498267,7726592.983502137,39.79518404498267,2439,165914.92043442948,573132.1208199487,31
