SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,240758530458,0,2043.7875294351024,4138423.5981718325,123014,2045.2027143681978,4121585.499947484,20.452027143681978,1231,214207.69927231653,604348.4982642549,86
1,240254091403,0,8641.716365197475,7116255.3154897345,519043,8645.846519698696,7092984.056022199,86.45846519698696,5193,248748.75504635728,932737.6394116131,257
2,240331008860,0,4679.678907268824,7386417.655609646,281165,4681.8760730766235,7350826.868395864,46.818760730766236,2813,211414.91782811107,666118.1471553671,135
3,234118236308,0,120871.71754436557,7876260.462065694,7073886,120920.09766704636,7839248.8964573415,1209.2009766704637,70774,622486.9238331271,749477.4159942511,3514
4,240559759431,0,3187.347924594358,6833074.923729903,191685,3189.228330684529,6787598.816317791,31.89228330684529,1918,191658.44132522645,561273.3584279466,115
5,240206788396,0,11409.703385623961,9627332.948640289,685158,11415.164485191795,9574861.149672644,114.15164485191796,6855,277697.2000286629,803324.6365220271,342
6,240035509183,0,7266.895070580858,7913276.158001179,436071,7270.590946898119,7869848.009885128,72.70590946898119,4363,230659.53770893134,687293.4743135319,229
7,232744008436,0,175580.4900428205,8646897.298734913,10215218,175648.77512729407,8614736.003289377,1756.4877512729408,102203,804770.0918169514,1016333.1760936718,5082
8,239867574062,0,16168.523262505076,8481943.038122479,969537,16175.591949736037,8399982.267377641,161.75591949736037,9700,191395.88678664598,395580.43525809277,463
9,239641871735,0,14051.006800667132,7901956.661661957,841777,14057.643497816089,7868172.276901844,140.5764349781609,8422,234069.37916002295,827513.7564380522,423
