SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,126792947487,0,4466779.604258688,5533796.242688994,141577432,4466436.211352084,5533578.91740526,446.668390820378,14159,277491.12995369534,635194.8610004671,721
1,126164686878,0,4546813.53342514,5616779.741450325,143399667,4546450.470365507,5616506.869551778,454.6934308862745,14342,264744.5514225158,518137.4641379168,708
2,129750143093,0,4252572.819760572,4663597.995354259,137925998,4252071.580410955,4663456.379680217,425.27876987450105,13795,181770.58824192162,688944.2711935176,726
3,131518995810,0,4328471.210855858,4733191.955175664,142304972,4328064.7673308905,4733022.833063861,432.8802903392244,14233,218656.85796399557,580632.5955379488,711
4,126731715793,0,4639008.982935665,5739268.918939154,146967911,4638732.745954594,5739168.2754236935,463.89587443991627,14698,356696.41868722264,1265448.6939970604,729
5,134892875406,0,4287698.495572591,5319500.108993049,144576988,4287186.956756627,5319307.444906966,428.7389058772631,14459,180015.97641790708,671087.7680273282,756
6,137541685881,0,4278443.985518104,5224633.9665753115,147094619,4277842.809845033,5224332.607783808,427.8265138337964,14711,161133.69605344938,454780.02475712274,809
7,130551913978,0,4337022.845927571,5118182.336380273,141535668,4336554.331140669,5117868.27644719,433.69708500049944,14155,189587.72805959402,381228.08892922354,699
8,135196596009,0,4394920.024077399,5218946.915973673,148528372,4394463.452026927,5218736.666392996,439.5079597438208,14855,204474.91865978233,583338.1428388271,753
9,132961123083,0,4160786.6172570917,5034507.587409412,138293718,4160447.649458277,5034292.961426546,416.0914302797609,13831,253169.69322942742,554672.1536153132,730
10,130752471912,0,4488428.834112363,5399447.67349398,146707315,4488116.265939157,5399251.8744649645,448.8479491652971,14672,310371.2770397941,674127.514461212,759
11,135750186927,0,4284956.913302334,4952990.181270988,145406954,4284566.122275569,4952916.053392583,428.5222137711288,14543,217445.29230558794,1217113.0558979341,709
